X=alphabeta-improve
O=minimax-improve
depth=8
current_player=O
turns=9
max_turns=9
total_nodes=48110
total_time=1.119903
Turn 01 | Player X | Minimax-Improve | move=(4, 4) | score=20 | depth=8 | nodes=2551 | time=0.051805s
Turn 02 | Player O | Alpha-Beta-Improve | move=(3, 4) | score=-100000 | depth=8 | nodes=3055 | time=0.086693s
Turn 03 | Player X | Minimax-Improve | move=(3, 3) | score=100000 | depth=8 | nodes=14603 | time=0.291724s
Turn 04 | Player O | Alpha-Beta-Improve | move=(5, 5) | score=-100000 | depth=8 | nodes=526 | time=0.015341s
Turn 05 | Player X | Minimax-Improve | move=(2, 2) | score=100000 | depth=8 | nodes=12422 | time=0.256691s
Turn 06 | Player O | Minimax-Improve | move=(1, 1) | score=-100000 | depth=8 | nodes=7499 | time=0.185407s
Turn 07 | Player X | Alpha-Beta-Improve | move=(4, 3) | score=100000 | depth=8 | nodes=759 | time=0.029884s
Turn 08 | Player O | Minimax-Improve | move=(2, 3) | score=-100000 | depth=8 | nodes=6428 | time=0.189206s
Turn 09 | Player X | Alpha-Beta-Improve | move=(4, 5) | score=100000 | depth=8 | nodes=267 | time=0.013152s
