X=minimax-improve
O=alphabeta-improve
depth=8
current_player=O
turns=9
max_turns=9
total_nodes=53369
total_time=1.258137
Turn 01 | Player X | Minimax-Improve | move=(4, 4) | score=20 | depth=8 | nodes=2551 | time=0.051805s
Turn 02 | Player O | Alpha-Beta-Improve | move=(3, 4) | score=-100000 | depth=8 | nodes=3055 | time=0.086693s
Turn 03 | Player X | Minimax-Improve | move=(3, 3) | score=100000 | depth=8 | nodes=14603 | time=0.291724s
Turn 04 | Player O | Alpha-Beta-Improve | move=(5, 5) | score=-100000 | depth=8 | nodes=526 | time=0.015341s
Turn 05 | Player X | Minimax-Improve | move=(2, 2) | score=100000 | depth=8 | nodes=12422 | time=0.256691s
Turn 06 | Player O | Alpha-Beta-Improve | move=(1, 1) | score=-100000 | depth=8 | nodes=296 | time=0.009713s
Turn 07 | Player X | Minimax-Improve | move=(4, 3) | score=100000 | depth=8 | nodes=13364 | time=0.350850s
Turn 08 | Player O | Alpha-Beta-Improve | move=(2, 3) | score=-100000 | depth=8 | nodes=184 | time=0.006225s
Turn 09 | Player X | Minimax-Improve | move=(4, 5) | score=100000 | depth=8 | nodes=6368 | time=0.189095s
