X=alphabeta
O=minimax
depth=3
current_player=X
turns=12
max_turns=15
total_nodes=47406
total_time=0.520983
Turn 01 | Player X | Minimax | move=(4, 4) | score=400 | depth=3 | nodes=97 | time=0.001345s
Turn 02 | Player O | Alpha-Beta | move=(5, 5) | score=100 | depth=3 | nodes=318 | time=0.004994s
Turn 03 | Player X | Minimax | move=(5, 4) | score=970 | depth=3 | nodes=3044 | time=0.028924s
Turn 04 | Player O | Alpha-Beta | move=(6, 4) | score=660 | depth=3 | nodes=253 | time=0.003387s
Turn 05 | Player X | Minimax | move=(4, 6) | score=860 | depth=3 | nodes=4435 | time=0.049644s
Turn 06 | Player O | Alpha-Beta | move=(4, 5) | score=770 | depth=3 | nodes=437 | time=0.006583s
Turn 07 | Player X | Minimax | move=(3, 5) | score=2190 | depth=3 | nodes=6220 | time=0.069929s
Turn 08 | Player O | Minimax | move=(6, 5) | score=1620 | depth=3 | nodes=8246 | time=0.093255s
Turn 09 | Player X | Alpha-Beta | move=(7, 5) | score=1340 | depth=3 | nodes=183 | time=0.003507s
Turn 10 | Player O | Minimax | move=(6, 6) | score=100000 | depth=3 | nodes=10386 | time=0.114114s
Turn 11 | Player X | Alpha-Beta | move=(6, 7) | score=-100001 | depth=3 | nodes=86 | time=0.002642s
Turn 12 | Player O | Minimax | move=(6, 3) | score=100002 | depth=3 | nodes=13701 | time=0.142658s
