X=minimax
O=alphabeta
depth=2
current_player=X
turns=10
max_turns=81
total_nodes=2489
total_time=1.997281
Turn 01 | Player X | Minimax | move=(4, 4) | score=0 | depth=2 | nodes=9 | time=0.009304s
Turn 02 | Player O | Alpha-Beta | move=(3, 4) | score=-400 | depth=2 | nodes=26 | time=0.014590s
Turn 03 | Player X | Minimax | move=(3, 3) | score=0 | depth=2 | nodes=138 | time=0.102708s
Turn 04 | Player O | Alpha-Beta | move=(5, 5) | score=-1130 | depth=2 | nodes=87 | time=0.064355s
Turn 05 | Player X | Minimax | move=(2, 2) | score=-10 | depth=2 | nodes=306 | time=0.248656s
Turn 06 | Player O | Alpha-Beta | move=(1, 1) | score=-680 | depth=2 | nodes=454 | time=0.351342s
Turn 07 | Player X | Minimax | move=(2, 3) | score=20 | depth=2 | nodes=625 | time=0.525070s
Turn 08 | Player O | Alpha-Beta | move=(4, 3) | score=-2230 | depth=2 | nodes=87 | time=0.059079s
Turn 09 | Player X | Minimax | move=(2, 5) | score=-60 | depth=2 | nodes=627 | time=0.522045s
Turn 10 | Player O | Alpha-Beta | move=(2, 4) | score=-1080 | depth=2 | nodes=130 | time=0.100132s
